Timestamp,Fx,Fy,Fz,Tx,Ty,Tz,Temperature
6261932333,0.009686386,0.074966334,-4.999854,3.481476,-1.882017,-0.13277517,23.61381
6261942363,0.009554624,0.07476574,-5.000084,3.4888988,-1.8770405,-0.1354652,23.61381
6261952386,0.009918504,0.074552886,-4.9999976,3.5036008,-1.8667707,-0.13415259,23.61381
6261962531,0.00966257,0.074813895,-4.9996347,3.494439,-1.8781236,-0.13429037,23.61381
6261972582,0.009425595,0.07504505,-5.00029,3.4809647,-1.8828305,-0.1368022,23.61381
6261982620,0.009859283,0.074454166,-5.0005064,3.4956038,-1.8578647,-0.13614278,23.612837
6261992671,0.010320158,0.07429743,-5.0006657,3.50992,-1.8444403,-0.13430619,23.612837
6262002591,0.010049449,0.075041,-5.001053,3.4880536,-1.86104,-0.13456514,23.612837
6262012613,0.009990232,0.075373836,-5.000975,3.4664807,-1.8582155,-0.13676071,23.612837
6262022801,0.010507268,0.07492984,-5.0013843,3.4801767,-1.830958,-0.13592522,23.612837
6262032777,0.010854458,0.0748308,-5.001834,3.494363,-1.8310351,-0.13291925,23.612837
6262042761,0.010398733,0.07527113,-5.001586,3.4818673,-1.8502564,-0.13304116,23.612837
6262052781,0.01028757,0.075242735,-5.0019813,3.4731863,-1.8451033,-0.13528088,23.612837
6262062819,0.010589207,0.07488396,-5.0021653,3.4892428,-1.8359516,-0.13415265,23.612837
6262072961,0.010476787,0.074883595,-5.0019326,3.4949162,-1.8499732,-0.13377766,23.612837
6262083073,0.010213316,0.07509911,-5.0019765,3.4804144,-1.856652,-0.13549396,23.609797
6262092998,0.010441801,0.07470459,-5.0015874,3.4822135,-1.8434156,-0.13468152,23.609797
6262103026,0.010344824,0.07444189,-5.0018783,3.5021877,-1.8479614,-0.13426313,23.609797
6262113073,0.009741144,0.07462102,-5.0017767,3.5039947,-1.8719395,-0.13492815,23.609797
6262123339,0.009662971,0.074703105,-5.0012336,3.492549,-1.8703921,-0.13544276,23.609797
6262133159,0.010034106,0.074475385,-5.0013776,3.496463,-1.8509545,-0.13572124,23.609797
6262143181,0.009927447,0.07444826,-5.001621,3.5038733,-1.8584591,-0.13500807,23.609797
6262153266,0.009656001,0.074786596,-5.0014567,3.4896936,-1.8703222,-0.13543956,23.609797
6262163271,0.009941458,0.075082764,-5.0019903,3.474941,-1.852817,-0.13521773,23.609797
6262173370,0.009979067,0.07509114,-5.0020123,3.4771628,-1.8497709,-0.13403928,23.609797
6262183493,0.009267163,0.07571209,-5.0023375,3.4771802,-1.8817941,-0.13589445,23.608099
6262193384,0.008941324,0.07585724,-5.002145,3.4630518,-1.8851382,-0.1383307,23.608099
6262203436,0.009666516,0.07541977,-5.0015774,3.4641018,-1.8536279,-0.13618238,23.608099
6262213488,0.009905611,0.075152084,-5.0019336,3.4790845,-1.8540918,-0.1351513,23.608099
6262223739,0.009391916,0.075278625,-5.001898,3.4803538,-1.877436,-0.13651854,23.608099
6262233629,0.009613532,0.07497774,-5.0017753,3.4760895,-1.8615333,-0.1368182,23.608099
6262243574,0.010488922,0.07468641,-5.002325,3.488391,-1.8341413,-0.13423128,23.608099
6262253609,0.010288898,0.07478729,-5.0025644,3.5028255,-1.8506187,-0.13394083,23.608099
6262263699,0.009620124,0.07494423,-5.0024285,3.4971018,-1.8726815,-0.13778935,23.608099
6262274012,0.00999641,0.07477896,-5.002409,3.4949822,-1.850926,-0.13864774,23.608099
6262283878,0.010664629,0.074177936,-5.0024247,3.5079656,-1.8289049,-0.13598742,23.606625
6262293910,0.010266288,0.07454425,-5.002928,3.5134223,-1.8508579,-0.1357739,23.606625
6262303832,0.009577262,0.07512559,-5.002618,3.4958231,-1.873236,-0.13883393,23.606625
6262313887,0.009811934,0.07515962,-5.0026345,3.4857001,-1.8562112,-0.14002138,23.606625
6262323951,0.010336869,0.07497897,-5.0032773,3.4945304,-1.8399425,-0.13833235,23.606625
6262333970,0.010195027,0.07528369,-5.0032115,3.4941955,-1.852272,-0.13868618,23.606625
6262343969,0.009897715,0.075665936,-5.003673,3.4779587,-1.8564947,-0.14028446,23.606625
6262354017,0.010371804,0.075416185,-5.0034804,3.4722526,-1.8339481,-0.13951737,23.606625
6262364029,0.010773567,0.07507934,-5.0031977,3.4858177,-1.8229299,-0.137769,23.606625
6262374173,0.01053576,0.07513994,-5.0036144,3.4901445,-1.8374523,-0.13803236,23.606625
6262384269,0.010121034,0.075494535,-5.0035305,3.4770098,-1.8453324,-0.13930874,23.606178
6262394241,0.010052932,0.07542178,-5.0032787,3.4732718,-1.8427879,-0.1397793,23.606178
6262404330,0.010017905,0.075129546,-5.003709,3.4899817,-1.846604,-0.14021482,23.606178
6262414288,0.009806278,0.07502137,-5.0038905,3.499078,-1.8547155,-0.13992657,23.606178
6262424343,0.009430981,0.07522556,-5.004235,3.4921029,-1.8631636,-0.14113095,23.606178
6262434491,0.00905731,0.07526222,-5.004203,3.4933789,-1.8717735,-0.14204344,23.606178
6262444375,0.008815004,0.07490675,-5.003341,3.507825,-1.8791987,-0.14187683,23.606178
6262454603,0.008598818,0.0750109,-5.0036073,3.5152383,-1.8908589,-0.14187597,23.606178
6262464624,0.008217366,0.07552977,-5.003919,3.5010142,-1.9045416,-0.14284809,23.606178
6262474574,0.007915355,0.07607122,-5.003631,3.4836233,-1.9127775,-0.14347295,23.606178
6262484661,0.008156944,0.07609063,-5.0037766,3.4805167,-1.9105146,-0.14411372,23.603485
6262494646,0.008494114,0.07630898,-5.004102,3.4757838,-1.9025347,-0.14386685,23.603485
6262504733,0.008612232,0.076976225,-5.0049233,3.4537573,-1.9003592,-0.14414534,23.603485
6262514772,0.008436166,0.0777461,-5.0049944,3.4297419,-1.9081984,-0.14412712,23.603485
6262524707,0.008382899,0.078075044,-5.004499,3.4176536,-1.9111459,-0.14405371,23.603485
6262534764,0.008555048,0.07823481,-5.0050135,3.410707,-1.906111,-0.14435741,23.603485
6262544825,0.008695264,0.0783509,-5.005247,3.40129,-1.9014747,-0.14478458,23.603485
6262554819,0.008671795,0.07838499,-5.005319,3.3955493,-1.8973945,-0.14468537,23.603485
